ID_sort,umol_L,length,width,depth,volume
L_167_18,34.25237148,39,47.5,27.5,26674.08512
L_168_18,27.63544086,39.5,52,29,31188.68467
L_169_18,1.691522184,40,51,29,30976.10356
L_170_18,11.56724587,41,52.5,30,33811.39093
L_171_18,20.99408081,45,55,33,42764.93
L_172_18,0.541758639,40,49.5,27,27991.59054
L_173_18,-0.150679073,41,54,30,34777.43068
M_001_18,23.66010937,41.5,59,30,38460.94806
M_002_18,14.53631317,39,56,30,34306.19178
M_003_18,28.75888119,42.5,60,32,42725.66009
M_004_18,17.71349837,38.5,54,27.5,29935.451
M_005_18,30.29478448,35,48.5,26,23109.03196
M_006_18,0.738221206,43.5,58,30,39631.19133
M_007_18,25.23748013,36,53,27.5,27473.22776
M_008_18,24.17404147,37,52,28,28207.31324
M_009_18,24.47037201,40,52,30,32672.5636
M_010_18,25.08250562,38.5,56,28,31608.61089
M_011_18,15.20162365,39,54.5,29,32274.36673
M_012_18,11.81220859,42,56,31,38176.63393
M_013_18,15.76269712,39.5,55,29.5,33556.79103
M_014_18,0.930935136,37,53.5,28.5,29539.21762
M_015_18,-61.89678123,42,58,31,39540.08514
M_016_18,20.10478617,39.5,52.5,28.5,30945.66939
M_017_18,4.11334622,37.5,50.5,26.5,26276.4773
M_018_18,10.22770699,37,52.5,25.5,25935.81085
M_019_18,14.53649931,39,55.5,27.5,31166.56262
M_020_18,15.39218791,36.5,49,27,25284.32307
M_021_18,12.47984673,41.5,56,31,37722.15019
M_022_18,17.74329439,34.5,48,25,21676.98931
M_023_18,4.134480113,38.5,53,28.5,30449.4941
M_024_18,17.09095867,40.4,56,28.5,33760.81129
M_025_18,26.50217362,37,49,27,25630.68366
M_026_18,18.65229456,41,53.5,31,35603.93134
M_027_18,11.11056555,31,45.5,24,17724.86575
M_028_18,11.81810931,37.5,40,28,21991.14858
M_029_18,16.74603375,34,48,26,22217.34325
M_030_18,12.25254537,35.5,50.5,28,26283.08774
M_031_18,10.5632761,35,50,26,23823.74429
M_032_18,10.4343076,37,53,27,27722.98437
M_033_18,25.51865367,40,55,28.5,32829.64323
M_034_18,0.398984202,37.5,49.5,30,29157.90682
M_035_18,18.37678471,38,53,28.5,30054.04612
M_036_18,15.02430534,34.5,45,25,20322.17748
M_037_18,26.05615229,41,53,32,36408.96446
M_038_18,6.641174674,40.5,55,30,34989.48818
M_039_18,10.61701794,35,49,26.5,23796.25535
M_040_18,12.15209782,34.5,50,25.5,23031.80114
M_041_18,8.176847396,33.5,50,25,21925.69873
M_042_18,1.92995106,40,56,29,34012.97646
M_043_18,-0.120917207,41.5,53,30,34549.66521
M_044_18,16.65646653,44,50,27,31101.76727
M_045_18,18.01094887,35,50,26,23823.74429
M_046_18,27.6007696,39.5,53.5,28,30981.86315
M_047_18,12.26114027,35,50,28,25656.34
M_048_18,4.73314373,40,53,30.5,33855.89683
,,40,52,30.5,33217.10632
M_050_18,2.036766795,35.5,49.5,23,21162.16081
,,.,.,.,
M_052_18,1.349357983,38.5,51,28.5,29300.45658
,,40,54.5,30,34243.35992
,,.,.,.,
M_055_18,34.67016772,38,55.5,28.5,31471.68981
M_056_18,21.71284844,37,44,26.5,22589.09838
M_057_18,23.57674274,37,49.5,28,26851.19241
M_058_18,13.35292036,33,47,29,23550.94933
M_059_18,15.40234316,36.5,49.5,27.5,26015.33241
M_060_18,24.60565473,38,52,28,28969.67306
M_061_18,22.76480681,36,51.5,26,25239.55538
M_062_18,-7.70203944,40,53,29,32190.85272
M_063_18,3.278080549,39.5,57,30,35366.4793
M_064_18,25.48241827,35,48.5,27,23997.84088
M_065_18,23.14268382,32.5,50,25,21271.20026
M_066_18,34.60723587,41,57,31,37933.1605
M_067_18,-1.910109206,37,51.5,28.5,28434.94781
M_068_18,36.5732028,42,57,30,37604.86406
M_069_18,27.04095246,36,53,25,24975.6616
M_070_18,18.2651479,37,50.5,29.5,28861.15721
M_071_18,3.228571507,34,46,24.5,20063.25788
M_072_18,25.16394397,36,50,27,25446.90049
M_073_18,21.80865908,34,50,25,22252.94796
,,34,51,25.5,23151.96706
M_075_18,23.54449309,42.5,60,32,42725.66009
M_076_18,2.032115008,38.5,53.5,30,32354.47734
M_077_18,3.366725136,38,54.5,28,30362.4458
M_078_18,20.33957414,36,50.5,27,25701.3695
M_079_18,8.918588806,34,43,25.5,19520.28595
M_080_18,1.21570678,36,52,27,26464.77651
M_081_18,-2.188039902,38,54,27,29009.46656
M_082_18,3.12334903,37,51,26,25688.80313
M_083_18,6.067951957,37,52,29.5,29718.41931
M_084_18,3.10236705,34,46.5,27,22350.86093
M_085_18,15.90259282,34,45,27,21629.86542
M_110_18,22.71603087,40,54,29,32798.2273
