If,species,treatment,bucket,sex,spawned,spawndate,length,width,depth,mort_date,mort,histo_tissuesampled,dry weight,umol O2,ATPase,stage
L-C-100,littleneck,C,10,m,n,.,42,48.5,30,,n,y,,35.47293074,,4
L-C-101,littleneck,C,10,f,n,.,36,45.5,25,,n,y,,17.32036023,1.951275046,3
L-C-102,littleneck,C,10,m,n,.,45,52.5,32,,n,y,,8.668319753,1.949695022,3
L-C-103,littleneck,C,10,m,y,11-May-22,46,55,31,,n,y,,5.448942001,2.150307798,4
L-C-104,littleneck,C,10,m,n,.,42,50,34.5,?,y,n,,,,
L-C-105,littleneck,C,10,m,y,11-May-22,52,62,35.5,,n,y,,25.24804021,1.563884818,4
L-C-106,littleneck,C,15,m,y,11-May-22,48,56.5,32,,n,y,,12.97383425,1.470806026,3
L-C-107,littleneck,C,15,f,n,.,39,46.5,28,,n,n,y,21.77682762,,
L-C-108,littleneck,C,15,f,n,.,46,57,33,,n,y,,8.901938363,,3
L-C-109,littleneck,C,15,m,n,.,48,59.5,32,,n,y,,25.46754122,1.491793722,4
L-C-111,littleneck,C,15,m,n,.,39,49,27,,n,n,y,23.06151871,,
L-C-112,littleneck,C,15,f,n,.,45,53,32,,n,y,,4.591788557,1.586422867,3
L-C-113,littleneck,C,15,m,n,.,39.5,49,28,,n,y,,28.22316593,,4
L-C-114,littleneck,C,15,m,y,11-May-22,44,51.5,30,,n,y,,23.62382044,1.739480729,4
L-C-115,littleneck,C,15,f,n,.,.,.,.,?,y,n,,,,
L-C-116,littleneck,C,15,m,n,.,41.5,48,26,,n,y,,3.401763565,1.898805376,4
L-C-117,littleneck,C,16,m,n,.,39.5,48.5,29,,n,y,,-0.281419804,1.809078064,3
L-C-118,littleneck,C,16,m,n,.,40,50.5,29.5,,n,y,,34.92760342,,4
L-C-119,littleneck,C,16,f,n,.,.,.,.,?,y,n,,,,
L-C-120,littleneck,C,16,m,y,11-May-22,41,51,30,,n,y,,19.75185473,1.710392763,4
L-C-121,littleneck,C,16,f,n,.,37,47,25,,n,y,,15.56053889,1.883962099,
L-C-122,littleneck,C,16,f,n,.,37,48.5,29,,n,y,,15.98418831,1.464156684,
L-C-123,littleneck,C,16,m,n,.,45,56,30.5,,n,y,,30.07089126,1.660040404,
L-C-124,littleneck,C,16,f,n,.,42,51,27,,n,y,,7.794325659,1.961434527,5
L-C-125,littleneck,C,16,m,n,.,44,51,30,,n,y,,20.23074776,2.178520313,
L-C-126,littleneck,C,16,f,n,.,39.5,47.5,26.5,,n,y,,24.83050825,1.806033933,
L-T-130,littleneck,T,11,f,n,.,50.5,60,36,,n,y,,0.659920179,1.807814936,
L-T-131,littleneck,T,11,m,y,12-May-22,45,56,33,,n,y,,35.01952296,2.259631491,
L-T-132,littleneck,T,11,f,y,12-May-22,40,47,26.5,,n,y,,1.842675523,1.906608556,3
L-T-133,littleneck,T,11,f,n,.,.,.,.,5/19/2022,y,n,,17.96321105,,
L-T-134,littleneck,T,11,m,n,.,34.5,45.5,23,5/18/2022,y,n,,,,
L-T-135,littleneck,T,11,f,n,.,37,45.5,26,5/18/2022,y,n,,,,
L-T-136,littleneck,T,11,f,n,.,41,49,29,,n,y,,11.12727826,1.850594694,3
L-T-137,littleneck,T,11,m,y,12-May-22,37,45,26,,n,n,y,30.27605481,,
L-T-138,littleneck,T,11,f,n,.,32,42,22,,n,y,,16.68363272,1.700933732,3
L-T-139,littleneck,T,11,m,n,.,37,46,23.5,,n,y,,1.259058837,2.358414159,4
L-T-140,littleneck,T,11,m,y,12-May-22,43,53,23.5,,n,y,,28.98585239,1.50612368,3
L-T-141,littleneck,T,12,f,n,.,43,52.5,31,,n,y,,20.53922855,1.447722567,3
L-T-142,littleneck,T,12,f,n,.,47,46.5,25,,n,y,,27.75420002,1.969900615,3
L-T-143,littleneck,T,12,f,n,.,43.5,52.5,34.5,,n,y,,4.070402575,1.575437121,3
L-T-144,littleneck,T,12,f,y,12-May-22,38,51,28,?,y,n,,,,
L-T-145,littleneck,T,12,f,n,.,.,.,.,?,y,n,,,,
L-T-146,littleneck,T,12,f,n,.,45.5,54,32,,n,y,,25.11059284,,4
L-T-147,littleneck,T,12,m,n,.,36,40,27,,n,y,,1.639998229,1.563317841,3
L-T-148,littleneck,T,12,m,y,12-May-22,36.5,44,25.5,,n,y,,26.31331634,1.915027505,
L-T-149,littleneck,T,12,f,n,.,34,43,26,,n,n,y,24.2956181,,
L-T-150,littleneck,T,12,f,n,.,36,44,26,,n,y,,6.341470063,1.607764597,3
L-T-151,littleneck,T,12,f,n,.,35.5,46,25,5/23/2022,y,n,,2.467187704,,
L-T-152,littleneck,T,13,f,n,.,46,54,32,,n,y,,2.84104906,1.48247183,4
L-T-153,littleneck,T,13,f,n,.,44,56,34,,n,y,,38.43952125,1.342219121,3
L-T-154,littleneck,T,13,m,y,12-May-22,.,.,.,?,y,n,,27.32855804,,
L-T-155,littleneck,T,13,f,y,12-May-22,42,50,36,,n,y,,15.48465739,,3
L-T-156,littleneck,T,13,m,y,12-May-22,44,52.5,30.5,,n,y,,33.45205568,1.577138347,
L-T-157,littleneck,T,13,f,n,.,43,52.5,29,,n,n,y,12.98285743,,
L-T-158,littleneck,T,13,m,n,.,42,47,32,,n,n,y,13.79924256,,
L-T-159,littleneck,T,13,m,y,12-May-22,38.5,48,27,,n,y,,3.045129919,1.819383076,3
L-T-160,littleneck,T,13,f,n,.,38,47,27,,n,y,,30.31916709,1.965833438,4
L-T-161,littleneck,T,13,f,n,.,36,45,26,,n,y,,16.42187667,2.13591793,3
L-T-162,littleneck,T,13,f,n,.,46,57,32.5,,n,y,,-0.381187323,,4
L-T-163,littleneck,T,14,m,n,.,47,59,35,,n,y,,26.07753723,1.922960373,4
L-T-164,littleneck,T,14,f,n,.,44,52.5,31.5,,n,y,,20.58300863,2.027415432,4
L-T-165,littleneck,T,14,f,y,12-May-22,44,53,33,,n,y,,0.881531093,1.892507003,3
L-T-166,littleneck,T,14,m,n,.,43,53,30,,n,y,,3.10414069,1.293751319,5
L-T-167,littleneck,T,14,f,y,12-May-22,39,47.5,27.5,5/23/2022,y,n,,34.25237148,,
L-T-168,littleneck,T,14,m,n,.,39.5,52,29,,n,y,,27.63544086,1.72379434,4
L-T-169,littleneck,T,14,f,n,.,40,51,29,,n,y,,1.691522184,1.391048063,4
L-T-170,littleneck,T,14,f,n,.,41,52.5,30,,n,y,,11.56724587,1.926223075,5
L-T-171,littleneck,T,14,f,n,.,45,55,33,,n,y,,20.99408081,1.336102719,4
L-T-172,littleneck,T,14,f,n,.,40,49.5,27,,n,y,,0.541758639,,
L-T-173,littleneck,T,14,m,y,12-May-22,41,54,30,,n,y,,-0.150679073,1.710988723,3
